x	y	v_x	v_y	radius	mass	count	energy
0.6950595040961497	0.10081015790767259	-0.3603149602725009	-1.2051507766573963	0.01	1.0	9.0	0.7911076325370497	
0.7933591043339071	0.6978470190048354	1.7113226053064587	-0.6779599202914122	0.01	1.0	10.0	1.6941273564772117	
0.29714559608755353	0.08558636613833895	0.41974147805655654	0.8339356589150422	0.01	1.0	7.0	0.4358157958055841	
0.284415858314908	0.6712401562544197	-0.4858120116432643	-0.12047768117398276	0.01	1.0	10.0	0.1252640911589675	
0.7274692877715226	0.2890810934054635	0.1111630720626198	0.37332482244996595	0.01	1.0	9.0	0.07586432582384889	
0.696078638579996	0.20059582962707712	-0.5343010419935635	-0.690592727208561	0.01	1.0	6.0	0.38119795917438276	
0.03915007512232734	0.6798838863042379	-0.28674895898857716	-1.0438925311486602	0.01	1.0	8.0	0.5859682910344945	
0.5043540992996242	0.2168819598856971	1.1622067542607502	0.23483909381199752	0.01	1.0	5.0	0.7029369698158738	
0.29333077887957953	0.12001801322449497	-0.8091515594253434	-1.5931908847984744	0.01	1.0	5.0	1.5964917207627056	
0.03395590109573405	0.1756059096653996	1.081051533912397	0.44926754987402245	0.01	1.0	10.0	0.6852568751720768	
0.44400627670778997	0.8852563824260236	-0.07715832540129691	0.05029095286551594	0.01	1.0	11.0	0.004241293559426984	
0.7879030297706869	0.575716929894561	-0.5300525161377314	0.2642992862618894	0.01	1.0	12.0	0.17540489129124207	
0.13725532238862323	0.2225229571512911	0.023499953727004974	-1.3165488998692099	0.01	1.0	5.0	0.8669266267859992	
0.7108014701768189	0.6965149899130609	-0.32287393299143763	-0.8341118069483343	0.01	1.0	13.0	0.3999950415479873	
0.5933813562760852	0.5470944772939847	-0.19958185172839082	-0.025820081629247676	0.01	1.0	6.0	0.0202497960773372	
0.1423314837096681	0.47397646849981373	-0.11254129002323332	0.9398638489353726	0.01	1.0	9.0	0.44800479824785316	
0.6139247405175228	0.6577411240143807	-0.5398057635603161	0.03292410617298469	0.01	1.0	8.0	0.1462371295701129	
0.9135685844308196	0.4928340045548395	0.04669021658932454	-1.0996291863527226	0.01	1.0	6.0	0.6056821619019545	
0.8716719397314383	0.6841954388181718	-0.3496944121103346	-0.38180676359061216	0.01	1.0	11.0	0.13403129329236507	
0.6634007758418968	0.3511110125198301	0.11805669208189778	0.1785295367245725	0.01	1.0	5.0	0.02290508901420525	
0.7701984845055464	0.6815746357575717	0.5608045684501973	-0.5292895245347907	0.01	1.0	10.0	0.29732458238843845	
0.652048151768878	0.5906254382736364	1.5672394561896628	-2.1389850376883013	0.01	1.0	9.0	3.5157482522460466	
0.6365904700225786	0.603316382881117	0.3559366252749232	-0.18151333096961197	0.01	1.0	9.0	0.0798189852658925	
0.1389185059608412	0.5731002092901698	-0.45277070276417886	-1.0101704356360988	0.01	1.0	11.0	0.6127228091573971	
0.2725771599973061	0.42269501125657205	-0.1325600190489698	-0.1987904092910967	0.01	1.0	5.0	0.028544892738192492	
0.4131569481613638	0.6190745649828376	0.07064386822626267	-1.4691053316917646	0.01	1.0	7.0	1.0816305158615698	
0.08320427816194792	0.20515377527714593	-0.789251108388291	-0.6593404696298809	0.01	1.0	3.0	0.5288235834919488	
0.11508641901538917	0.6293405654000452	0.8709879269952944	-0.5715018997710922	0.01	1.0	10.0	0.5426171952067639	
0.612284715612303	0.9100674300711289	-0.3722487820136032	0.20169929915650764	0.01	1.0	10.0	0.0896258814954187	
0.7220954490107585	0.5088819794722426	-0.4677046092900895	0.2740725627337654	0.01	1.0	10.0	0.14693168559732453	
0.25195735244843886	0.9134801922328104	0.6588750983525691	0.4236337156855947	0.01	1.0	4.0	0.3067909601473454	
0.42018506864083294	0.035573086663410525	-0.18817803723141768	0.6948068432940487	0.01	1.0	9.0	0.25908376159225477	
0.06448956654268646	0.10287984775539842	-0.5480095306356645	0.20387917858658722	0.01	1.0	7.0	0.17094058256433145	
0.2158825191886498	0.7546183252239789	0.32753909628308525	-0.2785538882853502	0.01	1.0	8.0	0.09243706413641378	
0.49568947097618216	0.2515267098516378	-0.9341880869489234	-0.09958531152674333	0.01	1.0	5.0	0.4413123080345838	
0.7204910363946373	0.7318431960010453	0.1945963562808931	-0.3063621329046671	0.01	1.0	12.0	0.0658627491778486	
