time	e_tot	e_0	e_1	e_2
0.0	4.999999999999616	0.9999999999999453	3.999999999999781	
0.000019950081261333027	4.999999999999616	0.9999999999999453	3.999999999999782	
0.000026545422972032146	4.999999999999617	1.0003024584850517	3.999697541514676	
0.00002907498259143422	4.999999999999617	1.0003024584850517	3.9996975415146765	
0.000032892548833991305	4.999999999999617	1.0003024584850517	3.9996975415146765	
0.000056263913150041245	4.999999999999618	1.0003024584850517	3.999697541514677	
0.00010948020103471798	4.999999999999618	1.0017587890063553	3.9982412109933736	
0.00010964890815752401	4.999999999999618	1.0024388470804886	3.9975611529192405	
0.00011261611992665209	4.999999999999618	1.0024388470804886	3.9975611529192405	
0.00012290720264877304	4.999999999999618	1.003678128165631	3.996321871834098	
0.00013869776290665242	4.999999999999618	1.003678128165631	3.9963218718340983	
0.0001961700117129453	4.999999999999618	1.004171551266652	3.9958284487330773	
0.0002145824880221725	4.999999999999619	1.0041715512666523	3.9958284487330773	
0.00021740579187700372	4.999999999999619	1.0041715512666523	3.9958284487330773	
0.00023402432115525828	4.999999999999619	1.0041715512666523	3.9958284487330777	
0.0002656928605453182	4.999999999999619	1.005179256237321	3.9948207437624093	
0.0002866987204405722	4.99999999999962	1.0048320680715845	3.9951679319281457	
0.0003042572377816038	4.99999999999962	1.004517400228848	3.9954825997708827	
0.0003075490811976123	4.99999999999962	1.004517400228848	3.9954825997708827	
0.0003238518204982039	4.99999999999962	1.004517400228848	3.9954825997708827	
0.00033101456927634576	4.99999999999962	1.0045174002288482	3.9954825997708827	
0.00033529629743544884	4.999999999999621	1.0046794016478884	3.9953205983518427	
0.00033684228610328604	4.999999999999621	1.0046794016478884	3.9953205983518427	
0.00039140752361297343	4.999999999999622	1.0046794016478884	3.9953205983518427	
0.00042249506965829356	4.999999999999622	1.0045886695195023	3.9954113304802292	
0.00044727039068407173	4.999999999999622	1.0045886695195025	3.9954113304802292	
0.00046053018437155596	4.999999999999624	1.0045886695195025	3.9954113304802314	
0.0004982574574727761	4.999999999999624	1.006232388159394	3.9937676118403402	
0.0004988328022302257	4.999999999999624	1.006232388159394	3.9937676118403407	
0.0005321400433320115	4.999999999999625	1.0071942846858293	3.9928057153139056	
0.0005393688749901923	4.999999999999625	1.0080210899146973	3.9919789100850376	
0.0005432491750849974	4.999999999999625	1.009721355172315	3.9902786448274203	
0.0005457675383982026	4.999999999999625	1.0094373830953567	3.990562616904379	
0.0005728657038223638	4.999999999999625	1.0094373830953567	3.990562616904379	
0.0005769807292947162	4.999999999999624	1.0111814516315343	3.9888185483682004	
0.0006048238606285177	4.999999999999625	1.0111814516315343	3.988818548368201	
0.0006090524840176555	4.999999999999625	1.010858659425434	3.9891413405743013	
0.0006307277459265864	4.999999999999625	1.010858659425434	3.9891413405743013	
0.000635727214964021	4.999999999999625	1.010858659425434	3.9891413405743013	
0.0006430904559841911	4.999999999999625	1.010858659425434	3.9891413405743013	
0.0006722862088438884	4.999999999999625	1.011278367543504	3.9887216324562313	
0.0006728515023613832	4.999999999999624	1.0112783675435035	3.9887216324562313	
0.0007027267681054992	4.999999999999624	1.0108703823848884	3.989129617614847	
0.0007340251386490431	4.999999999999625	1.0108703823848884	3.9891296176148474	
0.0007493748800051936	4.999999999999626	1.0108703823848884	3.989129617614848	
0.000763863497016454	4.999999999999626	1.0108703823848884	3.989129617614848	
0.0007728061310000302	4.999999999999624	1.0127826907513364	3.9872173092483982	
0.0007796484359381041	4.999999999999623	1.014049867669005	3.985950132330729	
0.0007882875645753833	4.999999999999623	1.014049867669005	3.985950132330728	
0.000810621732928258	4.999999999999623	1.014049867669005	3.985950132330728	
0.0008244747538266196	4.999999999999623	1.0140498676690053	3.985950132330728	
0.0008264106818026302	4.999999999999623	1.0140498676690053	3.985950132330728	
0.0008387075253249593	4.999999999999624	1.0153789230881685	3.9846210769115653	
0.0008483650024007928	4.999999999999624	1.0162766602591649	3.9837233397405685	
0.0008609711113056857	4.999999999999623	1.0162766602591649	3.983723339740568	
0.0008731827391053519	4.999999999999623	1.015832324860274	3.984167675139459	
0.0008792300577862719	4.999999999999623	1.015832324860274	3.984167675139459	
0.0008862331677276856	4.999999999999624	1.015832324860274	3.9841676751394592	
0.000893307912843759	4.999999999999624	1.015832324860274	3.9841676751394592	
0.0008954367713164551	4.999999999999625	1.0153655427174897	3.984634457282244	
0.0009141949770404843	4.999999999999625	1.0153655427174897	3.984634457282244	
0.0009187984768813354	4.999999999999625	1.0153655427174897	3.9846344572822443	
0.000922992866077007	4.999999999999626	1.0153655427174897	3.984634457282245	
0.0009257876537678683	4.999999999999626	1.0151293016978071	3.9848706983019277	
0.0009519841688077158	4.999999999999624	1.0166712470518657	3.983328752947868	
0.0009605580171946891	4.999999999999625	1.014819795624183	3.985180204375551	
0.000993462442665414	4.999999999999626	1.0161659430432168	3.983834056956518	
0.0009980029392503299	4.999999999999627	1.0159955215408691	3.984004478458866	
0.0010222373719895133	4.999999999999626	1.015995521540869	3.984004478458866	
0.001023312929281621	4.999999999999627	1.0162490128824828	3.9837509871172525	
0.0010456179846664976	4.999999999999627	1.0177408564520285	3.982259143547707	
0.0010556955093563828	4.999999999999627	1.0177408564520285	3.982259143547707	
0.00108139546062018	4.999999999999626	1.0189994234307327	3.981000576569002	
0.0010827298947947656	4.999999999999627	1.0192307113597199	3.980769288640015	
0.001086990159770721	4.999999999999631	1.0205421602242712	3.979457839775468	
0.0011313797737440158	4.9999999999996305	1.0205421602242712	3.9794578397754674	
0.001142612201969099	4.9999999999996305	1.0205421602242712	3.9794578397754674	
