x	y	v_x	v_y	radius	mass	count	energy
0.7990921185706827	0.18236365382572006	0.0	0.0	0.005	0.1	0.0	0.0	
0.36454317710604367	0.1487613569891405	0.0	0.0	0.005	0.1	0.0	0.0	
0.7952645348234004	0.417595474898378	0.0	0.0	0.005	0.1	0.0	0.0	
0.00950121360468792	0.10171201320214618	0.0	0.0	0.005	0.1	0.0	0.0	
0.6483302327023142	0.48134611594766663	0.0	0.0	0.005	0.1	0.0	0.0	
0.833609096493052	0.4927511336490136	0.0	0.0	0.005	0.1	0.0	0.0	
0.4373415430930072	0.3509055708233493	0.0	0.0	0.005	0.1	0.0	0.0	
0.859488876141338	0.49206102245232153	0.0	0.0	0.005	0.1	0.0	0.0	
0.6770447793030967	0.3840038552927403	0.0	0.0	0.005	0.1	0.0	0.0	
0.32291763928512474	0.05605057717651396	0.0	0.0	0.005	0.1	0.0	0.0	
0.051670107924375985	0.0654024707234182	0.0	0.0	0.005	0.1	0.0	0.0	
0.4417665532660378	0.417352687835104	-0.6138543322272096	-1.6175078102619231	0.005	0.1	15.0	0.1496574328726218	
0.12766737519459026	0.47909051632529687	0.0	0.0	0.005	0.1	0.0	0.0	
0.45416331490715955	0.09542269805714165	0.0	0.0	0.005	0.1	0.0	0.0	
0.42887469685432467	0.18393819643792308	0.0	0.0	0.005	0.1	0.0	0.0	
0.8414611775165166	0.4857854347035141	0.0	0.0	0.005	0.1	0.0	0.0	
0.6069205168643701	0.23866752314720685	0.0	0.0	0.005	0.1	0.0	0.0	
0.24815834356862854	0.4212077503915078	0.0	0.0	0.005	0.1	0.0	0.0	
0.5436536570086137	0.15989471663803823	0.0	0.0	0.005	0.1	0.0	0.0	
0.18589672994345086	0.3023870336128338	0.0	0.0	0.005	0.1	0.0	0.0	
0.4250047328599596	0.43251409006472546	-0.9663583837971296	-1.1952900860192226	0.005	0.1	35.0	0.11812834578354206	
0.4004373825942702	0.18036547720697682	0.0	0.0	0.005	0.1	0.0	0.0	
0.9198452900622955	0.04056647746514197	0.0	0.0	0.005	0.1	0.0	0.0	
0.6145771088922334	0.3564641848097567	0.0	0.0	0.005	0.1	0.0	0.0	
0.06136930243642458	0.35453054603083034	0.0	0.0	0.005	0.1	0.0	0.0	
0.9467722461981738	0.17918846751756823	0.0	0.0	0.005	0.1	0.0	0.0	
0.6080410511071141	0.42052752413226846	0.0	0.0	0.005	0.1	0.0	0.0	
0.30044840655204474	0.022048066165976987	0.0	0.0	0.005	0.1	0.0	0.0	
0.6987021857461992	0.33582109261189685	0.0	0.0	0.005	0.1	0.0	0.0	
0.17687981226891614	0.4707541984065585	0.0	0.0	0.005	0.1	0.0	0.0	
0.49852133619431394	0.3225709192168943	0.0	0.0	0.005	0.1	0.0	0.0	
0.25755141217771294	0.03359891237500301	0.0	0.0	0.005	0.1	0.0	0.0	
0.9541295887970691	0.06356331170256879	0.0	0.0	0.005	0.1	0.0	0.0	
0.1220242989090008	0.007601488938259737	0.0	0.0	0.005	0.1	0.0	0.0	
0.128423163458931	0.17372637966219973	0.0	0.0	0.005	0.1	0.0	0.0	
0.545988870523204	0.3990439142666869	0.12368519030245403	-0.4151731258966636	0.005	0.1	7.0	0.009383337538348057	
0.13804837236801104	0.16906358687607403	0.0	0.0	0.005	0.1	0.0	0.0	
0.34840586931044215	0.13879794219413555	0.0	0.0	0.005	0.1	0.0	0.0	
0.7301678811414019	0.36706491788812934	0.0	0.0	0.005	0.1	0.0	0.0	
0.49207145663823915	0.28294960102781097	0.0	0.0	0.005	0.1	0.0	0.0	
0.5871159360166738	0.33211237177814157	0.0	0.0	0.005	0.1	0.0	0.0	
0.4720690905998326	0.27114799282862023	0.0	0.0	0.005	0.1	0.0	0.0	
0.29257389834740155	0.24806616128276893	0.0	0.0	0.005	0.1	0.0	0.0	
0.6484309758259503	0.24352829700946454	0.0	0.0	0.005	0.1	0.0	0.0	
0.6886491497139766	0.3805568246685116	0.0	0.0	0.005	0.1	0.0	0.0	
0.03747714812093217	0.43833202354738965	0.0	0.0	0.005	0.1	0.0	0.0	
0.14067641343687343	0.04530089305559648	0.0	0.0	0.005	0.1	0.0	0.0	
0.8989143336672258	0.34696548654968007	0.0	0.0	0.005	0.1	0.0	0.0	
0.344950059247183	0.013854313333662716	0.0	0.0	0.005	0.1	0.0	0.0	
0.3897024470639312	0.4556074389877405	-0.5924340547849294	-0.47259864374127925	0.005	0.1	2.0	0.028716379366750467	
0.9783473498970885	0.2879342192288272	0.0	0.0	0.005	0.1	0.0	0.0	
0.4066456370003384	0.37765886474672605	0.0	0.0	0.005	0.1	0.0	0.0	
0.8698717914244525	0.09962685901249502	0.0	0.0	0.005	0.1	0.0	0.0	
0.6992885332225875	0.20955633600025025	0.0	0.0	0.005	0.1	0.0	0.0	
0.19052157166838835	0.4063142556023269	0.0	0.0	0.005	0.1	0.0	0.0	
0.6807998073523251	0.012895069403820347	0.0	0.0	0.005	0.1	0.0	0.0	
0.858003660053605	0.2567075478669413	0.0	0.0	0.005	0.1	0.0	0.0	
0.22749128174774524	0.4754085134378929	0.0	0.0	0.005	0.1	0.0	0.0	
0.20424976382273452	0.17273893008579888	0.0	0.0	0.005	0.1	0.0	0.0	
0.8854286847176498	0.0753998941521501	0.0	0.0	0.005	0.1	0.0	0.0	
0.24894231080582196	0.005885582423673874	0.0	0.0	0.005	0.1	0.0	0.0	
0.9398462207643963	0.4260308325664872	0.0	0.0	0.005	0.1	0.0	0.0	
0.06692756050500503	0.039384206610284855	0.0	0.0	0.005	0.1	0.0	0.0	
0.3208877646809931	0.22061108305644872	0.0	0.0	0.005	0.1	0.0	0.0	
0.8028975799861542	0.12287889242019201	0.0	0.0	0.005	0.1	0.0	0.0	
0.5052148368908995	0.1488073592108785	0.0	0.0	0.005	0.1	0.0	0.0	
0.08692673712329535	0.43224844063067813	0.0	0.0	0.005	0.1	0.0	0.0	
0.009261984052566952	0.07025853202742693	0.0	0.0	0.005	0.1	0.0	0.0	
0.15274151411544512	0.4032896932696656	0.0	0.0	0.005	0.1	0.0	0.0	
0.6666681476671479	0.3476323272945523	0.0	0.0	0.005	0.1	0.0	0.0	
0.7932702126592823	0.1367877991588754	0.0	0.0	0.005	0.1	0.0	0.0	
0.6451066969662391	0.47067873420394124	0.0	0.0	0.005	0.1	0.0	0.0	
0.8340599259343877	0.4654578333354058	0.0	0.0	0.005	0.1	0.0	0.0	
0.5112046729644046	0.04762749630364227	0.0	0.0	0.005	0.1	0.0	0.0	
0.7516387088220091	0.30031891887281226	0.0	0.0	0.005	0.1	0.0	0.0	
0.2828900926437208	0.129286025946997	0.0	0.0	0.005	0.1	0.0	0.0	
0.23854040125362297	0.3980285602352176	0.0	0.0	0.005	0.1	0.0	0.0	
0.46727191282427016	0.10686944966943102	0.0	0.0	0.005	0.1	0.0	0.0	
0.5865298374338895	0.4214003399158178	1.0736510833977304	-0.8600238384027218	0.005	0.1	17.0	0.09461838257510358	
0.3212717629290245	0.38040654100850224	0.0	0.0	0.005	0.1	0.0	0.0	
0.3716528210617045	0.4293907319211008	0.0	0.0	0.005	0.1	0.0	0.0	
0.13555375407964032	0.2897190431750303	0.0	0.0	0.005	0.1	0.0	0.0	
0.5188592351497876	0.16560964205291662	0.0	0.0	0.005	0.1	0.0	0.0	
0.6251194840346985	0.2734810063397314	0.0	0.0	0.005	0.1	0.0	0.0	
0.9376410150749892	0.46691894272365064	0.0	0.0	0.005	0.1	0.0	0.0	
0.8162527443246423	0.3088363694738133	0.0	0.0	0.005	0.1	0.0	0.0	
0.3278571963813328	0.24758588148008343	0.0	0.0	0.005	0.1	0.0	0.0	
