x	y	v_x	v_y	radius	mass	count	energy
0.7114027160894216	0.07364766632558385	0.563349861746854	-0.795303590307303	0.001	0.001	18.0	0.00047493543374294294	
0.5140158584095258	0.17830944204779334	-0.008270477893341677	0.7577971723227259	0.001	0.001	21.0	0.00028716247759245174	
0.6156559073300085	0.20872168506181055	-0.32156952225606944	1.0469341806930959	0.001	0.001	20.0	0.0005997390681737602	
0.5047851265267055	0.48735385231413336	-0.6367485611712049	3.0398799297845027	0.001	0.001	13.0	0.004823159358830117	
0.578644857598004	0.6573789177455991	-0.8621733312648341	0.7134200835405948	0.001	0.001	17.0	0.0006261555343716852	
0.27837546477412956	0.07474665485095594	1.2906019356374085	-0.13662146079735105	0.001	0.001	16.0	0.0008421593899107139	
0.6035277112415859	0.5835006361155176	1.3004788464339039	0.07253793521763574	0.001	0.001	28.0	0.0008482534910338477	
0.14986884746812984	0.8611832383527007	-0.40044742718306203	-0.10222228772062458	0.001	0.001	21.0	0.00008540376902218597	
0.9440767657788215	0.5207216326158921	0.0856076958079266	-0.22038809474353638	0.001	0.001	18.0	0.000027949794943114234	
0.8713235294010344	0.11252910151440358	-0.21650389607411435	-0.201136658781087	0.001	0.001	27.0	0.000043664946260445164	
0.12582087339388487	0.09539566338094446	1.5668682595766348	0.899592087479385	0.001	0.001	21.0	0.0016321710333621151	
0.13382773337429038	0.603840016273465	-0.5820686569019295	-0.5962462520241936	0.001	0.001	17.0	0.00034715675720025724	
0.5415948961681386	0.697614528378203	0.37530784405211826	-0.7421644832444412	0.001	0.001	19.0	0.00034583204899826884	
0.15504852570034608	0.4257363092174229	-1.349233669923076	0.7643658942917884	0.001	0.001	16.0	0.0012023433582052886	
0.7850507267555625	0.2909815899165546	0.5218512447726624	-0.19875730458287855	0.001	0.001	17.0	0.00015591659389791422	
0.4489763255228991	0.2638344654725039	-0.5935289353528904	-0.5703307726722789	0.001	0.001	13.0	0.00033877689367904716	
0.15735649529590673	0.5712130166002597	0.4126206929289508	1.344979128490965	0.001	0.001	25.0	0.0009896123461547415	
