x	y	v_x	v_y	radius	mass	count	energy
0.09356896198386155	0.48988926926447285	0.0	0.0	0.01	0.01	0.0	0.0	
0.3636332478302029	0.4826029407816189	0.0	0.0	0.01	0.01	0.0	0.0	
0.6541631791856504	0.25757597863814724	0.48054028136389415	-0.5169855448909831	0.01	0.01	17.0	0.0024909650781975872	
0.4168562946511938	0.18372666299573806	-0.8291630627484363	-1.4897530404041264	0.01	0.01	52.0	0.014534377530098529	
0.1462819032770546	0.39211297484155927	0.0	0.0	0.01	0.01	0.0	0.0	
0.7630926897946672	0.4340256643409023	0.3706081157698486	0.0031841951948795803	0.01	0.01	1.0	0.0006868025728675829	
0.5607849515187728	0.18089430357254627	0.8790928424619808	-2.397717040110327	0.01	0.01	66.0	0.03260925615051656	
0.43597343836032976	0.020207669535969974	0.0	0.0	0.01	0.01	0.0	0.0	
0.8548620602425934	0.1873464117946555	0.0	0.0	0.01	0.01	0.0	0.0	
0.21568431109438557	0.34378653530864933	0.0	0.0	0.01	0.01	0.0	0.0	
0.3725936327202424	0.12289096495742169	0.0	0.0	0.01	0.01	0.0	0.0	
0.9159241238206839	0.29422151829108245	0.0	0.0	0.01	0.01	0.0	0.0	
0.746442956888526	0.1447869767997968	0.0	0.0	0.01	0.01	0.0	0.0	
0.6301711615801987	0.29045837120308987	0.5860765685145293	-0.8404362603869499	0.01	0.01	39.0	0.005249094259674834	
0.08607040121895437	0.36264174252348824	0.0	0.0	0.01	0.01	0.0	0.0	
0.06084430229099591	0.048644141921418194	0.0	0.0	0.01	0.01	0.0	0.0	
0.6337743656526669	0.3809042869687106	0.11677756041745557	-0.33067122474934313	0.01	0.01	30.0	0.0006149022874714153	
0.22264028700033411	0.40516898697630555	0.0	0.0	0.01	0.01	0.0	0.0	
0.7160249508643347	0.2975578395910625	0.6517779714518221	-0.42430659666843684	0.01	0.01	4.0	0.0030242530602310196	
0.6274547030598842	0.23331963917083703	0.5318401630789211	-1.413444625443915	0.01	0.01	33.0	0.011403398341300514	
0.20451099029182007	0.20900930579113097	0.0	0.0	0.01	0.01	0.0	0.0	
0.6568503328172967	0.29815201035047756	0.7944504892607528	-0.3016663701836861	0.01	0.01	39.0	0.0036107708939322513	
0.4060584060861292	0.0451640112125028	0.0	0.0	0.01	0.01	0.0	0.0	
0.3543661433626446	0.26682568255517797	-0.8138173058440391	-0.7480286549089532	0.01	0.01	23.0	0.0061092273792807406	
0.7966908204650232	0.03225972949667377	0.0	0.0	0.01	0.01	0.0	0.0	
0.37683454149263557	0.17336535270431191	-1.0530893927727105	-1.2173669790492099	0.01	0.01	15.0	0.012954898154248976	
0.3007992669047357	0.12881310355091424	0.0	0.0	0.01	0.01	0.0	0.0	
0.0419912925519339	0.4083765069152041	0.0	0.0	0.01	0.01	0.0	0.0	
0.39329472750496075	0.26516305981752114	-0.6242723374272572	-1.2530679079534144	0.01	0.01	53.0	0.009799475666098189	
0.6387945880108121	0.07989173182487141	0.0	0.0	0.01	0.01	0.0	0.0	
0.7923103048410642	0.220226881161096	0.0	0.0	0.01	0.01	0.0	0.0	
0.42810894803161365	0.21231486178104048	-1.2816155483712335	-2.2484839646838437	0.01	0.01	64.0	0.033491092766336376	
0.498593912138311	0.1466002361844175	0.65447439886763	-2.7083900760628365	0.01	0.01	12.0	0.03881856771444402	
0.749655313364606	0.2903434528445874	0.0	0.0	0.01	0.01	0.0	0.0	
0.5685146093445579	0.08444734907664853	0.0	0.0	0.01	0.01	0.0	0.0	
0.19104250959789892	0.4009264882831097	0.0	0.0	0.01	0.01	0.0	0.0	
0.6137027279141477	0.27629050872114885	0.7288713775213993	-0.9717066412132448	0.01	0.01	54.0	0.007377336407739338	
0.698415140497799	0.16352407910007083	0.0	0.0	0.01	0.01	0.0	0.0	
0.05122644306210722	0.13445610531005014	0.0	0.0	0.01	0.01	0.0	0.0	
0.8416791311416483	0.2368349158861227	0.0	0.0	0.01	0.01	0.0	0.0	
0.37638917764679	0.19354718190594591	-1.0779783087449295	-1.1180431374094446	0.01	0.01	34.0	0.012060288456164664	
0.9843210772524389	0.20263040977913482	0.0	0.0	0.01	0.01	0.0	0.0	
0.08547983287051597	0.4378866228088142	0.0	0.0	0.01	0.01	0.0	0.0	
0.7384792820345352	0.21825195288973065	0.0	0.0	0.01	0.01	0.0	0.0	
0.7906478367961027	0.46418109837777655	0.0	0.0	0.01	0.01	0.0	0.0	
0.2574266913085801	0.07285666118494338	0.0	0.0	0.01	0.01	0.0	0.0	
0.696774711275427	0.36509491928654686	0.643530003186265	0.15212779183808184	0.01	0.01	4.0	0.002186368650252225	
0.3532270623948651	0.14725066186074584	-0.8727320596496431	-0.36509723639462577	0.01	0.01	2.0	0.004474786199816508	
0.35700411591147524	0.31658262617409155	-0.7488959768679673	-0.3001731963537797	0.01	0.01	25.0	0.003254745659891359	
0.39128299514899934	0.1020714527412292	0.0	0.0	0.01	0.01	0.0	0.0	
0.7015918051224254	0.41785758991771943	0.2459149846936859	0.010068104338497927	0.01	0.01	9.0	0.00030287773210933323	
0.8904162444843795	0.3603825563081249	0.0	0.0	0.01	0.01	0.0	0.0	
0.35515812365293614	0.29659555000023813	-0.4365349707326606	-0.3971840051597231	0.01	0.01	38.0	0.001741589573136419	
0.8422447029220457	0.31813302744733707	0.0	0.0	0.01	0.01	0.0	0.0	
0.6687376841987155	0.4507380800066651	0.3250546755620518	-0.0004948864864963223	0.01	0.01	11.0	0.0005283039350869264	
0.5942976085982019	0.14371381101863373	0.7210235216005393	-1.751456959250237	0.01	0.01	8.0	0.017937381994036647	
0.7270107791675233	0.502584593436307	0.6114694621924774	0.5499977184362042	0.01	0.01	4.0	0.0033819619673949386	
0.9155196119346267	0.23849682923349091	0.0	0.0	0.01	0.01	0.0	0.0	
0.46667739798218677	0.12867898295798136	-1.0592013059478345	-1.4792451599564052	0.01	0.01	9.0	0.016550368248880242	
0.9131315099898103	0.02468808700926728	0.0	0.0	0.01	0.01	0.0	0.0	
0.19267825140328898	0.06313057978020753	0.0	0.0	0.01	0.01	0.0	0.0	
0.8258568597273714	0.444838908483866	0.0	0.0	0.01	0.01	0.0	0.0	
0.4529363692439244	0.15635380014736686	-0.6723938427262363	-2.6792270877807303	0.01	0.01	47.0	0.038151856338170836	
0.2394480576200455	0.1852892491639384	0.0	0.0	0.01	0.01	0.0	0.0	
